Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Argentina,ARG,70.928,69.307,68.268,66.54,64,63.078,60.281,62.62,64.877,64.07,67.791,65.395,61.852,57.783,51.029,46.153,39.866,39.065
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Colombia,COL,94.916,92.16,94.957,94.675,93.506,91.952,89.734,87.94,85.791,84.132,72.843,69.796,68.128,66.226,63.885,61.82,59.708,59.034
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Costa Rica,CRI,93.687,84.553,84.734,82.104,76.014,71.194,69.445,68.081,66.38,66.242,58.971,55.253,53.031,53.783,51.147,44.882,38.024,37.148
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bolivia,BOL,96.346,91.297,92.943,90.335,87.173,84.271,82.575,81.857,81.135,80.342,71.441,70.233,68.823,68.203,66.461,65.629,64.383,63.792
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Argentina,ARG,16000,55000,59000,63000,67000,71000,75000,79000,82000,86000,120000,120000,120000,130000,130000,130000,140000,140000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Colombia,COL,13000,72000,79000,84000,88000,91000,95000,98000,100000,100000,130000,140000,140000,150000,160000,160000,170000,170000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Costa Rica,CRI,1800,3500,3700,4000,4300,4700,5100,5600,6000,6500,11000,12000,13000,13000,14000,15000,16000,17000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Bolivia,BOL,2200,13000,15000,16000,17000,17000,18000,18000,18000,18000,21000,21000,22000,23000,23000,24000,25000,26000
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,Argentina,ARG,5200,6300,5900,5700,5800,5700,5700,5700,5700,5800,5600,5600,5500,5500,5400,5400,5200,5000
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,Colombia,COL,4700,11000,11000,10000,9200,9500,8900,8900,8800,8900,8900,9000,9000,8600,8700,9000,8800,8600
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,Costa Rica,CRI,500,500,500,500,520,550,580,610,640,660,890,910,930,960,980,1000,1000,1100
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,Bolivia,BOL,500,2800,2400,2100,1800,1800,1700,1800,1800,1700,1700,1600,1600,1600,1600,1500,1400,1500
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Argentina,ARG,15000,54000,58000,62000,66000,70000,73000,77000,81000,84000,120000,120000,120000,130000,130000,130000,140000,140000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Colombia,COL,12000,69000,75000,80000,84000,87000,90000,93000,96000,99000,130000,130000,140000,150000,150000,160000,160000,170000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Costa Rica,CRI,1700,3400,3600,3900,4200,4600,5000,5400,5900,6400,11000,12000,13000,13000,14000,15000,16000,17000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Bolivia,BOL,2100,13000,14000,15000,16000,16000,17000,17000,17000,17000,20000,20000,21000,22000,23000,24000,24000,25000
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Argentina,ARG,4900,5700,5400,5200,5300,5200,5200,5200,5300,5300,5300,5300,5300,5200,5200,5100,4900,4700
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Colombia,COL,4200,9600,9500,9100,8200,8400,7900,7900,8000,8000,8400,8500,8400,8100,8100,8500,8300,8100
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Costa Rica,CRI,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Bolivia,BOL,500,2400,2000,1800,1500,1500,1400,1400,1500,1500,1500,1500,1400,1400,1400,1400,1300,1300
"Age at first marriage, female",SP.DYN.SMAM.FE,Argentina,ARG,..,..,..,..,24.6,..,..,..,..,..,..,..,..,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Colombia,COL,23.1,..,..,23.1,..,..,..,..,23,23.1,..,22.7,..,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Costa Rica,CRI,..,..,..,22.2,..,..,23.4,..,..,23.6,25.7,24.9,25.3,25.9,26.4,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Bolivia,BOL,..,22.8,..,22.4,23.3,..,22.6,..,..,..,..,..,24,..,..,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Argentina,ARG,..,..,..,..,26.9,..,..,..,..,..,..,..,..,..,..,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Colombia,COL,..,..,..,27,..,..,..,..,26.9,26.5,..,26.2,..,..,..,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Costa Rica,CRI,..,..,..,26,..,..,26.9,..,..,27,28.8,28.1,28.3,28.6,29.2,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Bolivia,BOL,..,25.4,..,24.5,25.8,..,24.5,..,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Argentina,ARG,64.2132713974083,61.8400985730562,61.4607949663286,61.0879724896863,60.685565292786,60.254560271933,59.7829352406019,59.3017988892854,58.8384581557095,58.3750284439848,55.9732762411572,55.8644592427226,55.7543621214315,55.6112391046053,55.4071736223346,55.1353088624017,54.7600781645305,54.2701483886344
Age dependency ratio (% of working-age population),SP.POP.DPND,Colombia,COL,67.1554112816468,61.1673085212972,60.265257978449,59.3493797179637,58.4084879349835,57.4350777637802,56.4397817904128,55.4201728777117,54.3848638924084,53.3334162622954,46.4931564948045,45.996545265542,45.5338178822197,44.9916155162832,44.404854717061,43.9513183613735,43.6671643189675,43.5043087313434
Age dependency ratio (% of working-age population),SP.POP.DPND,Costa Rica,CRI,67.9862302706394,60.8526312776547,59.4492597727005,58.0479586037011,56.663577114224,55.3041421741102,53.9831275499288,52.7261992874357,51.5476276170829,50.4760189555216,45.8323148153723,45.5564502269023,45.3324653913013,45.2233978173925,45.207022387432,45.2014016009321,45.1774483416448,45.0931148604291
Age dependency ratio (% of working-age population),SP.POP.DPND,Bolivia,BOL,79.9054001327958,78.2601812130185,77.7562531845433,77.1276994863854,76.2030284226898,75.0156373111258,73.764147604152,72.4862797471775,71.2034958606695,69.9695743183165,62.0713055210308,61.1595377241249,60.3080820329936,59.499678295677,58.7172472923015,57.9640551186858,57.184370692995,56.3285138566426
