Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Argentina,ARG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,95.8,96.3,96.8,97.2,97.6,98,98.3,98.6,98.9,99.1,99.2,99.4,99.5,99.6,99.7,99.8,99.8,99.8,99.9,99.9,99.9,99.9
Argentina,ARG,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,..,..,..,..,..,..,..,..,..,..,75.5,77.8,80.05,82.2,84.1,86.3,87.5,89.05,90.5,91.6,92.7,93.7,94.4,95,95.6,96,96.5,96.8,97.1,97.3,97.5,97.7
Argentina,ARG,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,..,..,..,..,..,..,..,..,..,..,98.4,98.6,98.8,98.9,99.2,99.3,99.4,99.5,99.6,99.7,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.1548004150391,92.4921875,92.8294525146484,93.1660461425781,93.5012741088867,93.8344650268555,94.1649398803711,94.4920120239258,94.8150024414063,95.1331558227539,95.6804733276367,95.5110634674458,96.0960006713867,96.2979507446289,96.50537109375,96.7252655029297,96.9644088745117,97.2243957519531,97.5016021728516,97.7922058105469,98.82,99.0342864990234,99.143798828125,99.285774230957,100,99.6890335083008,99.8997421264648,100,99.9937362670898,100,100,100
Argentina,ARG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,78.8945883201315,79.2542709682829,79.7786350872369,80.3337006585459,80.9358863354632,81.608093422829,82.3698768370974,83.247062020095,84.2638406906497,85.4318646348945,91.7907280675116,88.6387107010035,92.5830974497896,92.9043660661052,93.1807940987941,93.4174966806644,93.6189826730907,93.7968151410963,93.9690229551928,94.1565361473394,98.6167091875539,97.7890435761809,96.0965621663528,95.4264642484105,100,97.6160575199843,99.2730691798647,100,99.9229553144899,100,100,100
Argentina,ARG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.1390151977539,94.4131164550781,94.6866989135742,94.9571228027344,95.2212295532227,95.4758529663086,95.7178421020508,95.9440383911133,96.1512680053711,96.3380737304688,96.1542663574219,96.3320159912109,96.5076904296875,96.6882171630859,96.8805236816406,97.0915298461914,97.327880859375,97.5898132324219,97.8711318969727,98.1653900146484,98.8404769897461,99.1575927734375,99.4407272338867,99.655891418457,100,99.8815307617188,99.9570083618164,100,100,100,100,100
Argentina,ARG,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.13,..,..,50.2,..,..,48.71,..,..,..,71.63
Argentina,ARG,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.82,..,..,50.85,..,..,50.76,..,..,..,73.75
Argentina,ARG,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.61,..,..,49.46,..,..,46.47,..,..,..,69.56
Argentina,ARG,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.35,..,..,57.5,..,..,53.37,..,..,..,70.62
