Country,Año,Total alcohol per capita (age 15+ years) consumption
Antigua y Barbuda,2000,529374.0
Argentina,2000,672978.0
Bahamas,2000,482975.0
Barbados,2000,702093.0
Belice,2000,467903.0
Bolivia (Estado Plurinacional de),2000,313691.0
Brasil,2000,871482.0
Canadá,2000,937614.0
Chile,2000,655045.0
Colombia,2000,533948.0
Costa Rica,2000,461119.0
Cuba,2000,543431.0
Dominica,2000,811513.0
República Dominicana,2000,790557.0
Ecuador,2000,417153.0
El Salvador,2000,314422.0
Granada,2000,76851.0
Guatemala,2000,241236.0
Guyana,2000,538478.0
Haití,2000,414456.0
Honduras,2000,309442.0
Jamaica,2000,333738.0
México,2000,616331.0
Nicaragua,2000,392988.0
Panamá,2000,537223.0
Paraguay,2000,567541.0
Perú,2000,602938.0
Saint Kitts y Nevis,2000,645746.0
Santa Lucía,2000,1034978.0
San Vicente y las Granadinas,2000,45908.0
Suriname,2000,473893.0
Trinidad y Tabago,2000,5011.0
Estados Unidos de América,2000,905296.0
Uruguay,2000,697211.0
Venezuela (República Bolivariana de),2000,817039.0
Antigua y Barbuda,2005,595229.0
Argentina,2005,616791.0
Bahamas,2005,468659.0
Barbados,2005,780357.0
Belice,2005,593156.0
Bolivia (Estado Plurinacional de),2005,381242.0
Brasil,2005,827579.0
Canadá,2005,975363.0
Chile,2005,747088.0
Colombia,2005,522725.0
Costa Rica,2005,45435.0
Cuba,2005,575006.0
Dominica,2005,79088.0
República Dominicana,2005,696088.0
Ecuador,2005,376136.0
El Salvador,2005,309464.0
Granada,2005,793838.0
Guatemala,2005,227228.0
Guyana,2005,582427.0
Haití,2005,401783.0
Honduras,2005,339414.0
Jamaica,2005,313045.0
México,2005,619044.0
Nicaragua,2005,41123.0
Panamá,2005,538225.0
Paraguay,2005,588308.0
Perú,2005,617756.0
Saint Kitts y Nevis,2005,778943.0
Santa Lucía,2005,1153567.0
San Vicente y las Granadinas,2005,539126.0
Suriname,2005,496837.0
Trinidad y Tabago,2005,599176.0
Estados Unidos de América,2005,929658.0
Uruguay,2005,639501.0
Venezuela (República Bolivariana de),2005,843051.0
Antigua y Barbuda,2010,573723.0
Argentina,2010,769025.0
Bahamas,2010,432577.0
Barbados,2010,82722.0
Belice,2010,613009.0
Bolivia (Estado Plurinacional de),2010,466137.0
Brasil,2010,863131.0
Canadá,2010,1021275.0
Chile,2010,779076.0
Colombia,2010,506869.0
Costa Rica,2010,39975.0
Cuba,2010,549872.0
Dominica,2010,655489.0
República Dominicana,2010,683664.0
Ecuador,2010,412051.0
El Salvador,2010,270792.0
Granada,2010,755081.0
Guatemala,2010,204364.0
Guyana,2010,576731.0
Haití,2010,31354.0
Honduras,2010,31297.0
Jamaica,2010,304422.0
México,2010,523485.0
Nicaragua,2010,374944.0
Panamá,2010,650525.0
Paraguay,2010,637117.0
Perú,2010,753994.0
Saint Kitts y Nevis,2010,646794.0
Santa Lucía,2010,959824.0
San Vicente y las Granadinas,2010,665703.0
Suriname,2010,570046.0
Trinidad y Tabago,2010,615249.0
Estados Unidos de América,2010,934309.0
Uruguay,2010,631048.0
Venezuela (República Bolivariana de),2010,774988.0
Antigua y Barbuda,2015,738706.0
Argentina,2015,85713.0
Bahamas,2015,436107.0
Barbados,2015,91816.0
Belice,2015,634192.0
Bolivia (Estado Plurinacional de),2015,430981.0
Brasil,2015,819602.0
Canadá,2015,991687.0
Chile,2015,775342.0
Colombia,2015,501742.0
Costa Rica,2015,350244.0
Cuba,2015,585164.0
Dominica,2015,63121.0
República Dominicana,2015,657202.0
Ecuador,2015,384909.0
El Salvador,2015,288672.0
Granada,2015,776515.0
Guatemala,2015,164841.0
Guyana,2015,574604.0
Haití,2015,32231.0
Honduras,2015,285145.0
Jamaica,2015,338755.0
México,2015,515441.0
Nicaragua,2015,411369.0
Panamá,2015,6.59
Paraguay,2015,541486.0
Perú,2015,754729.0
Saint Kitts y Nevis,2015,611651.0
Santa Lucía,2015,863178.0
San Vicente y las Granadinas,2015,700715.0
Suriname,2015,567636.0
Trinidad y Tabago,2015,623252.0
Estados Unidos de América,2015,948589.0
Uruguay,2015,602212.0
Venezuela (República Bolivariana de),2015,605004.0
Antigua y Barbuda,2019,851359.0
Argentina,2019,803999.0
Bahamas,2019,439408.0
Barbados,2019,946831.0
Belice,2019,571321.0
Bolivia (Estado Plurinacional de),2019,409584.0
Brasil,2019,767496.0
Canadá,2019,989647.0
Chile,2019,674572.0
Colombia,2019,491572.0
Costa Rica,2019,345249.0
Cuba,2019,601384.0
Dominica,2019,609709.0
República Dominicana,2019,676339.0
Ecuador,2019,325713.0
El Salvador,2019,328108.0
Granada,2019,805902.0
Guatemala,2019,162539.0
Guyana,2019,534695.0
Haití,2019,345064.0
Honduras,2019,31686.0
Jamaica,2019,360021.0
México,2019,571942.0
Nicaragua,2019,417178.0
Panamá,2019,65962.0
Paraguay,2019,560061.0
Perú,2019,745063.0
Saint Kitts y Nevis,2019,634118.0
Santa Lucía,2019,947123.0
San Vicente y las Granadinas,2019,715801.0
Suriname,2019,663315.0
Trinidad y Tabago,2019,606472.0
Estados Unidos de América,2019,956731.0
Uruguay,2019,545265.0
Venezuela (República Bolivariana de),2019,301625.0
