Country,Year,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex"
Argentina,2000,34.0
Argentina,2000,28.4
Argentina,2000,39.6
Argentina,2005,36.9
Argentina,2005,26.0
Argentina,2005,31.5
Argentina,2010,34.2
Argentina,2010,23.6
Argentina,2010,28.9
Argentina,2015,31.7
Argentina,2015,21.5
Argentina,2015,26.6
Argentina,2018,20.3
Argentina,2018,24.9
Argentina,2018,30.3
Argentina,2019,24.9
Argentina,2019,19.9
Argentina,2019,29.8
Argentina,2020,24.5
Argentina,2020,19.6
Argentina,2020,29.4
Bahamas,2000,17.2
Bahamas,2000,4.2
Bahamas,2000,10.7
Bahamas,2005,17.6
Bahamas,2005,3.7
Bahamas,2005,10.7
Bahamas,2010,10.7
Bahamas,2010,3.2
Bahamas,2010,18.1
Bahamas,2015,18.4
Bahamas,2015,2.8
Bahamas,2015,10.6
Bahamas,2018,2.6
Bahamas,2018,18.7
Bahamas,2018,10.7
Bahamas,2019,10.7
Bahamas,2019,2.5
Bahamas,2019,18.8
Bahamas,2020,18.8
Bahamas,2020,2.4
Bahamas,2020,10.6
Barbados,2000,10.2
Barbados,2000,17.1
Barbados,2000,3.2
Barbados,2005,16.6
Barbados,2005,2.8
Barbados,2005,9.7
Barbados,2010,2.4
Barbados,2010,9.2
Barbados,2010,16.0
Barbados,2015,15.5
Barbados,2015,2.1
Barbados,2015,8.8
Barbados,2018,15.1
Barbados,2018,2.0
Barbados,2018,8.5
Barbados,2019,15.0
Barbados,2019,1.9
Barbados,2019,8.5
Barbados,2020,15.0
Barbados,2020,1.9
Barbados,2020,8.5
Bolivia (Plurinational State of),2000,36.6
Bolivia (Plurinational State of),2000,27.6
Bolivia (Plurinational State of),2000,32.1
Bolivia (Plurinational State of),2005,31.8
Bolivia (Plurinational State of),2005,17.9
Bolivia (Plurinational State of),2005,24.9
Bolivia (Plurinational State of),2010,27.3
Bolivia (Plurinational State of),2010,11.6
Bolivia (Plurinational State of),2010,19.5
Bolivia (Plurinational State of),2015,23.6
Bolivia (Plurinational State of),2015,7.5
Bolivia (Plurinational State of),2015,15.6
Bolivia (Plurinational State of),2018,13.2
Bolivia (Plurinational State of),2018,21.7
Bolivia (Plurinational State of),2018,5.8
Bolivia (Plurinational State of),2019,13.2
Bolivia (Plurinational State of),2019,5.3
Bolivia (Plurinational State of),2019,21.1
Bolivia (Plurinational State of),2020,20.5
Bolivia (Plurinational State of),2020,12.7
Bolivia (Plurinational State of),2020,4.8
Brazil,2000,17.9
Brazil,2000,23.8
Brazil,2000,29.6
Brazil,2005,25.5
Brazil,2005,15.2
Brazil,2005,20.4
Brazil,2010,21.8
Brazil,2010,13.0
Brazil,2010,17.4
Brazil,2015,11.0
Brazil,2015,18.8
Brazil,2015,14.9
Brazil,2018,17.2
Brazil,2018,10.1
Brazil,2018,13.2
Brazil,2019,9.7
Brazil,2019,13.2
Brazil,2019,16.7
Brazil,2020,16.2
Brazil,2020,12.8
Brazil,2020,9.4
Belize,2000,15.0
Belize,2000,3.5
Belize,2000,26.4
Belize,2005,23.0
Belize,2005,2.9
Belize,2005,13.0
Belize,2010,20.0
Belize,2010,2.5
Belize,2010,11.3
Belize,2015,17.3
Belize,2015,2.1
Belize,2015,9.7
Belize,2018,16.0
Belize,2018,1.9
Belize,2018,8.8
Belize,2019,8.8
Belize,2019,1.9
Belize,2019,15.6
Belize,2020,15.1
Belize,2020,8.5
Belize,2020,1.8
Canada,2000,30.3
Canada,2000,26.4
Canada,2000,28.4
Canada,2005,25.5
Canada,2005,21.1
Canada,2005,23.3
Canada,2010,17.0
Canada,2010,19.3
Canada,2010,21.6
Canada,2015,18.1
Canada,2015,13.5
Canada,2015,15.8
Canada,2018,16.3
Canada,2018,11.8
Canada,2018,13.6
Canada,2019,15.8
Canada,2019,11.3
Canada,2019,13.6
Canada,2020,10.7
Canada,2020,13.0
Canada,2020,15.3
Chile,2000,46.9
Chile,2000,51.3
Chile,2000,42.4
Chile,2005,41.7
Chile,2005,37.9
Chile,2005,45.4
Chile,2010,40.2
Chile,2010,37.1
Chile,2010,33.9
Chile,2015,35.5
Chile,2015,30.2
Chile,2015,32.9
Chile,2018,33.1
Chile,2018,28.1
Chile,2018,29.9
Chile,2019,32.3
Chile,2019,27.5
Chile,2019,29.9
Chile,2020,26.8
Chile,2020,29.2
Chile,2020,31.6
Colombia,2000,22.1
Colombia,2000,8.1
Colombia,2000,15.1
Colombia,2005,19.4
Colombia,2005,7.0
Colombia,2005,13.2
Colombia,2010,16.6
Colombia,2010,6.1
Colombia,2010,11.4
Colombia,2015,5.3
Colombia,2015,9.9
Colombia,2015,14.4
Colombia,2018,4.8
Colombia,2018,8.8
Colombia,2018,13.2
Colombia,2019,8.8
Colombia,2019,4.7
Colombia,2019,12.8
Colombia,2020,12.4
Colombia,2020,4.6
Colombia,2020,8.5
Costa Rica,2000,26.1
Costa Rica,2000,9.8
Costa Rica,2000,18.0
Costa Rica,2005,21.8
Costa Rica,2005,8.1
Costa Rica,2005,15.0
Costa Rica,2010,12.6
Costa Rica,2010,18.4
Costa Rica,2010,6.7
Costa Rica,2015,15.4
Costa Rica,2015,5.5
Costa Rica,2015,10.5
Costa Rica,2018,9.1
Costa Rica,2018,13.8
Costa Rica,2018,4.9
Costa Rica,2019,9.1
Costa Rica,2019,4.8
Costa Rica,2019,13.4
Costa Rica,2020,12.9
Costa Rica,2020,4.6
Costa Rica,2020,8.8
Cuba,2000,51.3
Cuba,2000,30.3
Cuba,2000,40.8
Cuba,2005,43.2
Cuba,2005,23.2
Cuba,2005,33.2
Cuba,2010,36.3
Cuba,2010,17.7
Cuba,2010,27.0
Cuba,2015,30.5
Cuba,2015,13.4
Cuba,2015,22.0
Cuba,2018,27.4
Cuba,2018,11.5
Cuba,2018,18.7
Cuba,2019,18.7
Cuba,2019,10.9
Cuba,2019,26.4
