Country,Año,Necesidades promedio de energía alimentaria kilocalorias
Antigua y Barbuda,2000,2363
Argentina,2000,2388
Bahamas,2000,2406
Barbados,2000,2442
Belice,2000,2186
Bolivia (Estado Plurinacional de),2000,2173
Brasil,2000,2369
Chile,2000,2386
Colombia,2000,2274
Costa Rica,2000,2365
Cuba,2000,2423
Dominica,2000,2432
República Dominicana,2000,2300
Ecuador,2000,2204
El Salvador,2000,2189
Granada,2000,2412
Guatemala,2000,2071
Haití,2000,2238
Honduras,2000,2144
México,2000,2307
Nicaragua,2000,2197
Panamá,2000,2254
Paraguay,2000,2265
Perú,2000,2216
Saint Kitts y Nevis,2000,2363
Santa Lucía,2000,2303
San Vicente y las Granadinas,2000,2405
Suriname,2000,2314
Trinidad y Tabago,2000,2416
Uruguay,2000,2381
Venezuela (República Bolivariana de),2000,2292
América Latina y el Caribe,2000,2317
América Central,2000,2269
El Caribe,2000,2349
América del Sur,2000,2331
Antigua y Barbuda,2001,2372
Argentina,2001,2391
Bahamas,2001,2412
Barbados,2001,2444
Belice,2001,2181
Bolivia (Estado Plurinacional de),2001,2179
Brasil,2001,2374
Chile,2001,2393
Colombia,2001,2279
Costa Rica,2001,2371
Cuba,2001,2425
Dominica,2001,2438
República Dominicana,2001,2308
Ecuador,2001,2211
El Salvador,2001,2194
Granada,2001,2419
Guatemala,2001,2075
Haití,2001,2246
Honduras,2001,2149
México,2001,2311
Nicaragua,2001,2204
Panamá,2001,2258
Paraguay,2001,2272
Perú,2001,2225
Saint Kitts y Nevis,2001,2372
Santa Lucía,2001,2338
San Vicente y las Granadinas,2001,2412
Suriname,2001,2319
Trinidad y Tabago,2001,2424
Uruguay,2001,2384
Venezuela (República Bolivariana de),2001,2297
América Latina y el Caribe,2001,2322
América Central,2001,2273
El Caribe,2001,2354
América del Sur,2001,2337
Antigua y Barbuda,2002,2381
Argentina,2002,2394
Bahamas,2002,2417
Barbados,2002,2441
Belice,2002,2178
Bolivia (Estado Plurinacional de),2002,2187
Brasil,2002,2378
Chile,2002,2398
Colombia,2002,2284
Costa Rica,2002,2378
Cuba,2002,2427
Dominica,2002,2437
República Dominicana,2002,2316
Ecuador,2002,2216
El Salvador,2002,2199
Granada,2002,2426
Guatemala,2002,2080
Haití,2002,2252
Honduras,2002,2154
México,2002,2315
Nicaragua,2002,2211
Panamá,2002,2261
Paraguay,2002,2279
Perú,2002,2232
Saint Kitts y Nevis,2002,2381
Santa Lucía,2002,2363
San Vicente y las Granadinas,2002,2419
Suriname,2002,2330
Trinidad y Tabago,2002,2429
Uruguay,2002,2385
Venezuela (República Bolivariana de),2002,2301
América Latina y el Caribe,2002,2326
América Central,2002,2278
El Caribe,2002,2359
América del Sur,2002,2341
Antigua y Barbuda,2003,2389
Argentina,2003,2397
Bahamas,2003,2425
Barbados,2003,2445
Belice,2003,2177
Bolivia (Estado Plurinacional de),2003,2194
Brasil,2003,2387
Chile,2003,2404
Colombia,2003,2290
Costa Rica,2003,2385
Cuba,2003,2429
Dominica,2003,2435
República Dominicana,2003,2323
Ecuador,2003,2222
El Salvador,2003,2205
Granada,2003,2433
Guatemala,2003,2085
Haití,2003,2259
Honduras,2003,2160
México,2003,2320
Nicaragua,2003,2218
Panamá,2003,2264
Paraguay,2003,2287
Perú,2003,2239
Saint Kitts y Nevis,2003,2389
Santa Lucía,2003,2391
San Vicente y las Granadinas,2003,2426
Suriname,2003,2331
Trinidad y Tabago,2003,2434
Uruguay,2003,2387
Venezuela (República Bolivariana de),2003,2306
América Latina y el Caribe,2003,2332
América Central,2003,2283
El Caribe,2003,2364
América del Sur,2003,2348
Antigua y Barbuda,2004,2397
Argentina,2004,2400
Bahamas,2004,2430
Barbados,2004,2448
Belice,2004,2176
Bolivia (Estado Plurinacional de),2004,2200
Brasil,2004,2394
Chile,2004,2412
Colombia,2004,2296
Costa Rica,2004,2393
Cuba,2004,2431
Dominica,2004,2429
República Dominicana,2004,2330
Ecuador,2004,2228
El Salvador,2004,2211
Granada,2004,2439
Guatemala,2004,2090
Haití,2004,2266
Honduras,2004,2167
México,2004,2324
Nicaragua,2004,2225
Panamá,2004,2267
Paraguay,2004,2294
Perú,2004,2245
Saint Kitts y Nevis,2004,2397
Santa Lucía,2004,2417
San Vicente y las Granadinas,2004,2432
Suriname,2004,2333
Trinidad y Tabago,2004,2438
Uruguay,2004,2389
Venezuela (República Bolivariana de),2004,2310
América Latina y el Caribe,2004,2338
América Central,2004,2287
El Caribe,2004,2369
América del Sur,2004,2354
Antigua y Barbuda,2005,2404
Argentina,2005,2403
Bahamas,2005,2432
Barbados,2005,2450
Belice,2005,2180
Bolivia (Estado Plurinacional de),2005,2207
Brasil,2005,2402
Chile,2005,2417
Colombia,2005,2301
Costa Rica,2005,2399
Cuba,2005,2433
Dominica,2005,2425
República Dominicana,2005,2338
Ecuador,2005,2234
El Salvador,2005,2218
Granada,2005,2445
Guatemala,2005,2097
Haití,2005,2272
Honduras,2005,2175
México,2005,2329
Nicaragua,2005,2232
Panamá,2005,2269
Paraguay,2005,2302
Perú,2005,2249
Saint Kitts y Nevis,2005,2404
Santa Lucía,2005,2435
San Vicente y las Granadinas,2005,2439
Suriname,2005,2335
Trinidad y Tabago,2005,2439
Uruguay,2005,2391
Venezuela (República Bolivariana de),2005,2313
América Latina y el Caribe,2005,2343
América Central,2005,2292
El Caribe,2005,2373
América del Sur,2005,2360
Antigua y Barbuda,2006,2411
Argentina,2006,2405
Bahamas,2006,2436
Barbados,2006,2453
Belice,2006,2184
Bolivia (Estado Plurinacional de),2006,2212
Brasil,2006,2409
Chile,2006,2422
Colombia,2006,2307
Costa Rica,2006,2405
Cuba,2006,2436
Dominica,2006,2433
República Dominicana,2006,2345
Ecuador,2006,2240
El Salvador,2006,2224
Granada,2006,2451
Guatemala,2006,2104
Haití,2006,2278
Honduras,2006,2182
México,2006,2333
Nicaragua,2006,2239
Panamá,2006,2272
Paraguay,2006,2308
Perú,2006,2253
Saint Kitts y Nevis,2006,2411
Santa Lucía,2006,2452
San Vicente y las Granadinas,2006,2445
Suriname,2006,2338
Trinidad y Tabago,2006,2441
Uruguay,2006,2394
Venezuela (República Bolivariana de),2006,2316
América Latina y el Caribe,2006,2349
América Central,2006,2297
El Caribe,2006,2378
América del Sur,2006,2366
Antigua y Barbuda,2007,2418
Argentina,2007,2408
Bahamas,2007,2440
Barbados,2007,2453
Belice,2007,2188
Bolivia (Estado Plurinacional de),2007,2216
Brasil,2007,2417
Chile,2007,2426
Colombia,2007,2313
Costa Rica,2007,2410
Cuba,2007,2438
Dominica,2007,2439
República Dominicana,2007,2352
Ecuador,2007,2245
El Salvador,2007,2233
Granada,2007,2451
Guatemala,2007,2111
Haití,2007,2286
Honduras,2007,2192
México,2007,2338
Nicaragua,2007,2245
Panamá,2007,2275
Paraguay,2007,2317
Perú,2007,2256
Saint Kitts y Nevis,2007,2418
Santa Lucía,2007,2464
San Vicente y las Granadinas,2007,2445
Suriname,2007,2345
Trinidad y Tabago,2007,2440
Uruguay,2007,2397
Venezuela (República Bolivariana de),2007,2319
América Latina y el Caribe,2007,2354
América Central,2007,2302
El Caribe,2007,2383
América del Sur,2007,2372
Antigua y Barbuda,2008,2425
Argentina,2008,2410
Bahamas,2008,2443
