Country,Year,"Proportion of adults who are obese, 20 years old and over ,by sex"
Antigua and Barbuda,1990,8.6
Antigua and Barbuda,1991,8.9
Antigua and Barbuda,1992,9.2
Antigua and Barbuda,1993,9.6
Antigua and Barbuda,1994,9.9
Antigua and Barbuda,1995,10.3
Antigua and Barbuda,1996,10.6
Antigua and Barbuda,1997,11.0
Antigua and Barbuda,1998,11.4
Antigua and Barbuda,1999,11.7
Antigua and Barbuda,2000,12.1
Antigua and Barbuda,2001,12.5
Antigua and Barbuda,2002,12.9
Antigua and Barbuda,2003,13.3
Antigua and Barbuda,2004,13.7
Antigua and Barbuda,2005,14.0
Antigua and Barbuda,2006,14.4
Antigua and Barbuda,2007,14.8
Antigua and Barbuda,2008,15.3
Antigua and Barbuda,2009,15.7
Antigua and Barbuda,2010,16.1
Antigua and Barbuda,2011,16.6
Antigua and Barbuda,2012,17.0
Antigua and Barbuda,2013,17.5
Antigua and Barbuda,2014,18.0
Antigua and Barbuda,2015,18.6
Antigua and Barbuda,2016,19.1
Argentina,1990,16.6
Argentina,1991,17.0
Argentina,1992,17.4
Argentina,1993,17.8
Argentina,1994,18.2
Argentina,1995,18.5
Argentina,1996,18.9
Argentina,1997,19.3
Argentina,1998,19.7
Argentina,1999,20.1
Argentina,2000,20.5
Argentina,2001,20.9
Argentina,2002,21.4
Argentina,2003,21.8
Argentina,2004,22.3
Argentina,2005,22.8
Argentina,2006,23.2
Argentina,2007,23.7
Argentina,2008,24.2
Argentina,2009,24.7
Argentina,2010,25.3
Argentina,2011,25.8
Argentina,2012,26.3
Argentina,2013,26.9
Argentina,2014,27.4
Argentina,2015,28.0
Argentina,2016,28.5
Bahamas,1990,16.9
Bahamas,1991,17.5
Bahamas,1992,18.1
Bahamas,1993,18.7
Bahamas,1994,19.3
Bahamas,1995,19.9
Bahamas,1996,20.5
Bahamas,1997,21.2
Bahamas,1998,21.8
Bahamas,1999,22.5
Bahamas,2000,23.1
Bahamas,2001,23.7
Bahamas,2002,24.2
Bahamas,2003,24.8
Bahamas,2004,25.3
Bahamas,2005,25.9
Bahamas,2006,26.4
Bahamas,2007,27.0
Bahamas,2008,27.5
Bahamas,2009,28.1
Bahamas,2010,28.6
Bahamas,2011,29.2
Bahamas,2012,29.7
Bahamas,2013,30.3
Bahamas,2014,30.9
Bahamas,2015,31.5
Bahamas,2016,32.1
Barbados,1990,10.7
Barbados,1991,11.0
Barbados,1992,11.4
Barbados,1993,11.8
Barbados,1994,12.3
Barbados,1995,12.7
Barbados,1996,13.2
Barbados,1997,13.8
Barbados,1998,14.3
Barbados,1999,14.9
Barbados,2000,15.4
Barbados,2001,16.0
Barbados,2002,16.5
Barbados,2003,17.1
Barbados,2004,17.6
Barbados,2005,18.1
Barbados,2006,18.7
Barbados,2007,19.3
Barbados,2008,19.8
