Country,Year,Prevalence of raised blood glucose/diabetes in adults (%)
Antigua y Barbuda,1995,6.8
Argentina,1995,7.8
Bahamas,1995,9.5
Barbados,1995,8.1
Belice,1995,8.5
Bolivia (Estado Plurinacional de),1995,5.8
Brasil,1995,6.5
Canadá,1995,5.2
Chile,1995,8.3
Colombia,1995,6.6
Costa Rica,1995,6.2
Cuba,1995,7.0
Dominica,1995,7.6
República Dominicana,1995,6.2
Ecuador,1995,5.7
El Salvador,1995,7.3
Granada,1995,6.5
Guatemala,1995,6.5
Guyana,1995,6.1
Haití,1995,4.8
Honduras,1995,5.7
Jamaica,1995,7.0
México,1995,8.7
Nicaragua,1995,7.1
Panamá,1995,6.6
Paraguay,1995,5.3
Perú,1995,6.5
Saint Kitts y Nevis,1995,8.7
Santa Lucía,1995,6.8
San Vicente y las Granadinas,1995,7.1
Suriname,1995,8.8
Trinidad y Tabago,1995,5.9
Estados Unidos de América,1995,5.8
Uruguay,1995,7.9
Venezuela (República Bolivariana de),1995,8.4
Antigua y Barbuda,1996,6.9
Argentina,1996,7.9
Bahamas,1996,9.7
Barbados,1996,8.3
Belice,1996,8.7
Bolivia (Estado Plurinacional de),1996,5.9
Brasil,1996,6.5
Canadá,1996,5.3
Chile,1996,8.3
Colombia,1996,6.7
Costa Rica,1996,6.4
Cuba,1996,7.1
Dominica,1996,7.8
República Dominicana,1996,6.4
Ecuador,1996,5.8
El Salvador,1996,7.5
Granada,1996,6.7
Guatemala,1996,6.7
Guyana,1996,6.3
Haití,1996,4.9
Honduras,1996,5.8
Jamaica,1996,7.2
México,1996,8.9
Nicaragua,1996,7.3
Panamá,1996,6.7
Paraguay,1996,5.5
Perú,1996,6.5
Saint Kitts y Nevis,1996,8.9
Santa Lucía,1996,7.0
San Vicente y las Granadinas,1996,7.3
Suriname,1996,9.0
Trinidad y Tabago,1996,6.1
Estados Unidos de América,1996,5.9
Uruguay,1996,8.0
Venezuela (República Bolivariana de),1996,8.5
Antigua y Barbuda,1997,7.1
Argentina,1997,8.0
Bahamas,1997,9.9
Barbados,1997,8.5
Belice,1997,8.9
Bolivia (Estado Plurinacional de),1997,6.0
Brasil,1997,6.6
Canadá,1997,5.3
Chile,1997,8.4
Colombia,1997,6.8
Costa Rica,1997,6.5
Cuba,1997,7.1
Dominica,1997,8.0
República Dominicana,1997,6.6
Ecuador,1997,5.9
El Salvador,1997,7.7
Granada,1997,6.9
Guatemala,1997,6.8
Guyana,1997,6.5
Haití,1997,5.1
Honduras,1997,6.0
Jamaica,1997,7.4
México,1997,9.0
Nicaragua,1997,7.4
Panamá,1997,6.9
Paraguay,1997,5.6
Perú,1997,6.6
Saint Kitts y Nevis,1997,9.1
Santa Lucía,1997,7.3
San Vicente y las Granadinas,1997,7.5
Suriname,1997,9.1
Trinidad y Tabago,1997,6.3
Estados Unidos de América,1997,6.0
Uruguay,1997,8.0
Venezuela (República Bolivariana de),1997,8.6
Antigua y Barbuda,1998,7.3
Argentina,1998,8.0
Bahamas,1998,10.1
Barbados,1998,8.6
Belice,1998,9.1
Bolivia (Estado Plurinacional de),1998,6.2
Brasil,1998,6.7
Canadá,1998,5.3
Chile,1998,8.5
Colombia,1998,7.0
Costa Rica,1998,6.7
Cuba,1998,7.2
Dominica,1998,8.1
República Dominicana,1998,6.9
Ecuador,1998,6.0
El Salvador,1998,7.9
Granada,1998,7.1
Guatemala,1998,7.0
Guyana,1998,6.8
Haití,1998,5.3
Honduras,1998,6.1
Jamaica,1998,7.6
México,1998,9.2
Nicaragua,1998,7.6
Panamá,1998,7.0
Paraguay,1998,5.8
Perú,1998,6.6
