Series Name,Cantidad
Young people (ages 15-24) newly infected with HIV,128
External balance on goods and services (current US$),128
Surface area (sq. km),128
External balance on goods and services (% of GDP),128
"Exports of goods, services and primary income (BoP, current US$)",128
Exports of goods and services (current US$),128
Exports of goods and services (current LCU),128
Exports of goods and services (constant LCU),128
Exports of goods and services (constant 2015 US$),128
Exports of goods and services (annual % growth),128
"Exports of goods and services (BoP, current US$)",128
Exports of goods and services (% of GDP),128
Exports as a capacity to import (constant LCU),128
Export volume index (2015 = 100),128
Export value index (2015 = 100),128
Export unit value index (2015 = 100),128
"Mortality rate, adult, female (per 1,000 female adults)",128
"Mortality rate, adult, male (per 1,000 male adults)",128
"Mortality rate, infant (per 1,000 live births)",128
"Mortality rate, infant, female (per 1,000 live births)",128
"Mortality rate, infant, male (per 1,000 live births)",128
"Mortality rate, neonatal (per 1,000 live births)",128
"Mortality rate, under-5 (per 1,000 live births)",128
"Mortality rate, under-5, female (per 1,000 live births)",128
"Mortality rate, under-5, male (per 1,000 live births)",128
Multilateral debt service (% of public and publicly guaranteed debt service),128
"Multilateral debt service (TDS, current US$)",128
Natural gas rents (% of GDP),128
Net ODA received (% of GNI),128
Net ODA received (% of gross capital formation),128
"Net ODA received (% of imports of goods, services and primary income)",128
External balance on goods and services (current LCU),128
External debt stocks (% of GNI),128
Net barter terms of trade index (2015 = 100),128
"External debt stocks, long-term (DOD, current US$)",128
"Foreign direct investment, net outflows (BoP, current US$)",128
"Foreign direct investment, net outflows (% of GDP)",128
"Foreign direct investment, net inflows (BoP, current US$)",128
"Foreign direct investment, net inflows (% of GDP)",128
"Foreign direct investment, net (BoP, current US$)",128
Food production index (2014-2016 = 100),128
Fixed telephone subscriptions (per 100 people),128
Fixed telephone subscriptions,128
"Technical cooperation grants (BoP, current US$)",128
Merchandise trade (% of GDP),128
Terms of trade adjustment (constant LCU),128
Final consumption expenditure (current US$),128
Final consumption expenditure (current LCU),128
Final consumption expenditure (constant LCU),128
Final consumption expenditure (constant 2015 US$),128
Final consumption expenditure (annual % growth),128
Final consumption expenditure (% of GDP),128
Fertilizer consumption (kilograms per hectare of arable land),128
Military expenditure (current LCU),128
"Fertility rate, total (births per woman)",128
Military expenditure (current USD),128
Mineral rents (% of GDP),128
Mobile cellular subscriptions,128
Mobile cellular subscriptions (per 100 people),128
