País,Indicador,Año,Valor
ATG,Household air pollution attributable deaths in children under 5 years,2019,0.0
ATG,Household air pollution attributable deaths in children under 5 years,2019,0.0
ATG,Household air pollution attributable deaths in children under 5 years,2019,0.0
ARG,Household air pollution attributable deaths in children under 5 years,2019,2.30901
ARG,Household air pollution attributable deaths in children under 5 years,2019,0.9896
ARG,Household air pollution attributable deaths in children under 5 years,2019,1.31941
BHS,Household air pollution attributable deaths in children under 5 years,2019,0.0
BHS,Household air pollution attributable deaths in children under 5 years,2019,0.0
BHS,Household air pollution attributable deaths in children under 5 years,2019,0.0
BRB,Household air pollution attributable deaths in children under 5 years,2019,0.0
BRB,Household air pollution attributable deaths in children under 5 years,2019,0.0
BRB,Household air pollution attributable deaths in children under 5 years,2019,0.0
BLZ,Household air pollution attributable deaths in children under 5 years,2019,0.57236
BLZ,Household air pollution attributable deaths in children under 5 years,2019,0.25507
BLZ,Household air pollution attributable deaths in children under 5 years,2019,0.31728
BOL,Household air pollution attributable deaths in children under 5 years,2019,81.86713
BOL,Household air pollution attributable deaths in children under 5 years,2019,35.56485
BOL,Household air pollution attributable deaths in children under 5 years,2019,46.30228
BRA,Household air pollution attributable deaths in children under 5 years,2019,140.35747
BRA,Household air pollution attributable deaths in children under 5 years,2019,59.68436
BRA,Household air pollution attributable deaths in children under 5 years,2019,80.67311
CAN,Household air pollution attributable deaths in children under 5 years,2019,0.0
CAN,Household air pollution attributable deaths in children under 5 years,2019,0.0
CAN,Household air pollution attributable deaths in children under 5 years,2019,0.0
CHL,Household air pollution attributable deaths in children under 5 years,2019,0.0
CHL,Household air pollution attributable deaths in children under 5 years,2019,0.0
CHL,Household air pollution attributable deaths in children under 5 years,2019,0.0
COL,Household air pollution attributable deaths in children under 5 years,2019,70.4746
COL,Household air pollution attributable deaths in children under 5 years,2019,30.28279
COL,Household air pollution attributable deaths in children under 5 years,2019,40.19181
CRI,Household air pollution attributable deaths in children under 5 years,2019,1.04976
CRI,Household air pollution attributable deaths in children under 5 years,2019,0.48159
CRI,Household air pollution attributable deaths in children under 5 years,2019,0.56817
CUB,Household air pollution attributable deaths in children under 5 years,2019,4.68924
CUB,Household air pollution attributable deaths in children under 5 years,2019,2.00219
CUB,Household air pollution attributable deaths in children under 5 years,2019,2.68705
DOM,Household air pollution attributable deaths in children under 5 years,2019,41.43484
DOM,Household air pollution attributable deaths in children under 5 years,2019,18.41334
DOM,Household air pollution attributable deaths in children under 5 years,2019,23.02151
ECU,Household air pollution attributable deaths in children under 5 years,2019,31.70485
ECU,Household air pollution attributable deaths in children under 5 years,2019,13.38153
ECU,Household air pollution attributable deaths in children under 5 years,2019,18.32333
GRD,Household air pollution attributable deaths in children under 5 years,2019,0.01671
GRD,Household air pollution attributable deaths in children under 5 years,2019,0.00729
GRD,Household air pollution attributable deaths in children under 5 years,2019,0.00942
GTM,Household air pollution attributable deaths in children under 5 years,2019,488.00259
GTM,Household air pollution attributable deaths in children under 5 years,2019,210.42888
GTM,Household air pollution attributable deaths in children under 5 years,2019,277.57373
GUY,Household air pollution attributable deaths in children under 5 years,2019,5.93888
GUY,Household air pollution attributable deaths in children under 5 years,2019,2.57499
GUY,Household air pollution attributable deaths in children under 5 years,2019,3.36389
HTI,Household air pollution attributable deaths in children under 5 years,2019,1307.82117
HTI,Household air pollution attributable deaths in children under 5 years,2019,573.47906
HTI,Household air pollution attributable deaths in children under 5 years,2019,734.3421
HND,Household air pollution attributable deaths in children under 5 years,2019,129.73572
HND,Household air pollution attributable deaths in children under 5 years,2019,55.18946
HND,Household air pollution attributable deaths in children under 5 years,2019,74.54625
JAM,Household air pollution attributable deaths in children under 5 years,2019,4.19997
JAM,Household air pollution attributable deaths in children under 5 years,2019,1.76781
JAM,Household air pollution attributable deaths in children under 5 years,2019,2.43216
SLV,Household air pollution attributable deaths in children under 5 years,2019,16.68399
SLV,Household air pollution attributable deaths in children under 5 years,2019,7.24603
SLV,Household air pollution attributable deaths in children under 5 years,2019,9.43796
USA,Household air pollution attributable deaths in children under 5 years,2019,0.0
USA,Household air pollution attributable deaths in children under 5 years,2019,0.0
USA,Household air pollution attributable deaths in children under 5 years,2019,0.0
MEX,Household air pollution attributable deaths in children under 5 years,2019,377.32761
MEX,Household air pollution attributable deaths in children under 5 years,2019,165.42743
MEX,Household air pollution attributable deaths in children under 5 years,2019,211.90018
NIC,Household air pollution attributable deaths in children under 5 years,2019,96.66212
NIC,Household air pollution attributable deaths in children under 5 years,2019,41.04593
NIC,Household air pollution attributable deaths in children under 5 years,2019,55.61619
PAN,Household air pollution attributable deaths in children under 5 years,2019,15.35882
PAN,Household air pollution attributable deaths in children under 5 years,2019,6.64843
PAN,Household air pollution attributable deaths in children under 5 years,2019,8.71039
PRY,Household air pollution attributable deaths in children under 5 years,2019,64.28524
PRY,Household air pollution attributable deaths in children under 5 years,2019,28.16625
PRY,Household air pollution attributable deaths in children under 5 years,2019,36.11899
PER,Household air pollution attributable deaths in children under 5 years,2019,91.0639
PER,Household air pollution attributable deaths in children under 5 years,2019,39.97632
PER,Household air pollution attributable deaths in children under 5 years,2019,51.08759
DOM,Household air pollution attributable deaths in children under 5 years,2019,41.43484
DOM,Household air pollution attributable deaths in children under 5 years,2019,18.41334
DOM,Household air pollution attributable deaths in children under 5 years,2019,23.02151
LCA,Household air pollution attributable deaths in children under 5 years,2019,0.26492
LCA,Household air pollution attributable deaths in children under 5 years,2019,0.11467
LCA,Household air pollution attributable deaths in children under 5 years,2019,0.15025
VCT,Household air pollution attributable deaths in children under 5 years,2019,0.23467
VCT,Household air pollution attributable deaths in children under 5 years,2019,0.10522
VCT,Household air pollution attributable deaths in children under 5 years,2019,0.12945
SUR,Household air pollution attributable deaths in children under 5 years,2019,0.63499
SUR,Household air pollution attributable deaths in children under 5 years,2019,0.26482
