País,Indicadores,Correlaciones
Argentina,"Death rate, crude (per 1,000 people)",0.9507716848712682
Argentina,Prevalence of overweight (% of adults),0.8493484848816651
Argentina,"Compulsory education, duration (years)",0.8300002933154602
Argentina,Gini index,0.7982451834150843
Argentina,People using at least basic sanitation services (% of population),0.7553155083035576
Argentina,"Government expenditure on education, total (% of GDP)",0.7459433444640216
Argentina,Domestic general government health expenditure (% of GDP),0.7329663873170879
Argentina,"GDP, PPP (constant 2017 international $)",0.6804508717318684
Argentina,"Population ages 80 and above, female",0.6704107771317838
Argentina,"Mortality rate, adult, male (per 1,000 male adults)",0.6636282571473632
Argentina,"Birth rate, crude (per 1,000 people)",0.6598341976453486
Argentina,Urban population,0.6095286208568134
Argentina,"Fertility rate, total (births per woman)",0.6083894299723858
Argentina,"Proportion of adults who are obese, 20 years old and over ,by sex",0.562547618720333
Argentina,"Population ages 80 and above, male",0.5428999037027761
Brazil,"Death rate, crude (per 1,000 people)",0.9628060859706035
Brazil,People using at least basic sanitation services (% of population),0.9281276193683502
Brazil,CO2 emissions (kg per PPP $ of GDP),0.9242868794938218
Brazil,"Mortality rate, adult, male (per 1,000 male adults)",0.9207872152061223
Brazil,Domestic private health expenditure (% of current health expenditure),0.9149064190998889
Brazil,People using safely managed drinking water services (% of population),0.9030929275896719
Brazil,"Fertility rate, total (births per woman)",0.860801111910352
Brazil,"Birth rate, crude (per 1,000 people)",0.8529572456467014
Brazil,"Mortality rate, adult, female (per 1,000 female adults)",0.84872589106054
Brazil,Rural population (% of total population),0.8213262137649544
Brazil,Domestic general government health expenditure (% of GDP),0.8194324304997398
Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.814554715107052
Brazil,Gini index,0.7318718739259916
Brazil,"Mortality rate, infant (per 1,000 live births)",0.6809201055854129
Brazil,Prevalence of undernourishment (% of population),0.6589390763226234
Canada,"Death rate, crude (per 1,000 people)",0.9902672018167186
Canada,"Compulsory education, duration (years)",0.9568510127420242
Canada,"Population, total",0.9486824039247786
Canada,"Fertility rate, total (births per woman)",0.9431767269831425
Canada,Prevalence of overweight (% of adults),0.9347557641327872
Canada,Urban population,0.9290650733839001
Canada,Gini index,0.9200397512032011
Canada,Rural population (% of total population),0.8900009411352272
Canada,People using at least basic sanitation services (% of population),0.8373419262994326
Canada,"Birth rate, crude (per 1,000 people)",0.8140731947883415
Canada,Number of neonatal deaths,0.7867362674636323
Canada,"Mortality rate, adult, female (per 1,000 female adults)",0.774855047691984
Canada,"Mortality rate, adult, male (per 1,000 male adults)",0.7134403285543319
Canada,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.704476363318578
Canada,"Mortality rate, infant (per 1,000 live births)",0.7001718830791795
Chile,Rural population (% of total population),0.8672136555938319
Chile,Prevalence of overweight (% of adults),0.8611994676954098
Chile,"Population, total",0.8382644927825257
Chile,"Fertility rate, total (births per woman)",0.8374329545782747
Chile,"Death rate, crude (per 1,000 people)",0.8327580769822429
Chile,"Birth rate, crude (per 1,000 people)",0.7987968801320211
Chile,"Mortality rate, adult, female (per 1,000 female adults)",0.7970549051528849
Chile,"Mortality rate, adult, male (per 1,000 male adults)",0.7771962731968781
Chile,Urban population,0.7534012161119388
Chile,"Mortality rate, infant (per 1,000 live births)",0.7112308283892212
Chile,Number of neonatal deaths,0.6933466711033479
Chile,Domestic private health expenditure (% of current health expenditure),0.6581049364506952
Chile,CO2 emissions (kg per PPP $ of GDP),0.6528916716496722
Chile,Poverty gap at $6.85 a day (2017 PPP) (%),0.6158616717542935
Chile,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex",0.6010113678765977
Colombia,People using safely managed drinking water services (% of population),0.9262315598895121
Colombia,Population density (people per sq. km of land area),0.9043425041545513
Colombia,Domestic general government health expenditure (% of GDP),0.9027296007368055
Colombia,People using at least basic sanitation services (% of population),0.8978858089591089
Colombia,"Government expenditure on education, total (% of GDP)",0.8933393464460211
Colombia,"Compulsory education, duration (years)",0.8902542117958737
Colombia,Prevalence of overweight (% of adults),0.8574597821786215
Colombia,Gini index,0.8507604870434116
Colombia,"Death rate, crude (per 1,000 people)",0.8304430236364878
Colombia,"Current health expenditure per capita, PPP (current international $)",0.8212232060485152
Colombia,"Domestic general government health expenditure per capita, PPP (current international $)",0.7677140134086475
Colombia,Gasto público social según la clasificación por funciones del gobierno,0.7630237985432522
Colombia,"Proportion of adults who are obese, 20 years old and over ,by sex",0.5947969713441004
Colombia,"Population, total",0.502014784448497
Colombia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.48758491047380786
Costa Rica,Gini index,0.9932827457839791
Costa Rica,"Mortality rate, adult, male (per 1,000 male adults)",0.9633168928389918
Costa Rica,"Mortality rate, adult, female (per 1,000 female adults)",0.8905550873269068
Costa Rica,"Death rate, crude (per 1,000 people)",0.8799405430497893
Costa Rica,Prevalence of overweight (% of adults),0.8626081000865816
Costa Rica,Population density (people per sq. km of land area),0.8539102009918911
Costa Rica,"Population, total",0.8459860897815468
Costa Rica,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",0.8144560102506538
Costa Rica,Domestic private health expenditure (% of current health expenditure),0.7922061873539246
Costa Rica,"Fertility rate, total (births per woman)",0.78651974453097
Costa Rica,"Birth rate, crude (per 1,000 people)",0.7747218453813313
Costa Rica,"Mortality rate, infant (per 1,000 live births)",0.7585357033428408
Costa Rica,Rural population (% of total population),0.6838017814738151
Costa Rica,People using at least basic sanitation services (% of population),0.6644131061346379
