País,Año,"Birth rate, crude (per 1,000 people)",CO2 emissions (kg per PPP $ of GDP),Capital health expenditure (% of GDP),"Compulsory education, duration (years)",Control of Corruption: Estimate,"Current health expenditure per capita, PPP (current international $)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Domestic private health expenditure (% of current health expenditure),"Fertility rate, total (births per woman)","GDP, PPP (constant 2017 international $)",Gini index,"Government expenditure on education, total (% of GDP)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)",Number of neonatal deaths,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,"Population ages 80 and above, female","Population ages 80 and above, male",Population density (people per sq. km of land area),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Poverty gap at $6.85 a day (2017 PPP) (%),Pregnant women receiving prenatal care (%),Prevalence of overweight (% of adults),"Prevalence of overweight, weight for height (% of children under 5)",Prevalence of undernourishment (% of population),Rural population (% of total population),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Urban population (% of total population),"Proportion of adults who are obese, 20 years old and over ,by sex",Gasto público social según la clasificación por funciones del gobierno,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex"
Argentina,1990,87.956,1.711437204032,0.8148518655027779,29.44628133523588,-1.030008122995497,504.1072761572141,30.972,0.0,7.440578616375319,363.5795058299991,211.97983094259507,12.136,1845532268783.71,189.4899317513748,4.2695198059082,299.852,274.208,287.136,462.868,791.784,101.6,43112.0,398.426798755242,263.7305356388465,196.7402596978891,-0.7989579972757781,1270320.0,573980.0,47.7038422327704,66296564.0,203.129054270041,64254060.0,196.870933474176,130550628.0,95.79927110623612,0.0,194.8,0.0,46.34460481847577,52.064,26.881836186940774,113558160.0,347.936,16.6,7055.659236,16.80901783731082
Argentina,1991,87.376,1.60148331136963,0.8185991626538209,29.836041909104893,-1.0578529196596165,618.3495781290985,30.144,0.0,7.72828649617577,413.7726194158604,209.4449623382925,12.048,2014086771448.58,187.2,13.177863616250818,302.54,275.828,289.276,440.232,771.352,100.4,42544.0,365.5448868987967,265.4454799470659,198.86910784742213,-0.7851487331238793,1334164.0,606332.0,48.388035181186,67230376.0,203.07756084643,65192672.0,196.922427071081,132423052.0,18.0,0.0,197.2,0.0,45.60152151281818,50.688,21.76,115642404.0,349.312,14.9,18537.00203,16.618353810573353
Argentina,1992,86.732,1.47825088010281,0.8223464598048649,30.225802482973904,-1.085697716323729,732.5918801009539,30.38,0.0,8.01599437597622,463.9657330017217,206.91009373398902,11.948,2173950710697.96,182.0,13.3095481169741,302.876,276.38,289.72,440.84,766.876,97.6,42436.0,364.5902615646637,267.16042425528576,200.99795599695608,-0.7713394689719841,1404816.0,640140.0,49.0640664452312,68156308.0,203.037801901408,66116836.0,196.962210014601,134273140.0,20.0,0.0,199.6,0.0,44.85843820716036,49.832,25.44,117545392.0,350.168,17.4,21688.87885,16.427689783835888
Argentina,1993,86.28,1.36337890002907,0.8260937569559079,30.61556305684303,-1.1135425129878413,846.8341820728383,30.524,0.0,8.30370225577667,514.158846587583,204.37522512968553,11.864,270640095896.85547,179.6,13.44123261769738,303.76,276.64,290.26,436.036,766.732,94.0,42392.0,363.63563623053074,268.87536856350516,203.12680414648912,-0.7575302048200889,1477968.0,673904.0,49.7348841118284,69077968.0,203.007849005678,67030992.0,196.992150994321,136108960.0,22.0,0.0,202.0,0.0,44.11535490150277,48.992,40.4,119438336.0,351.008,15.7,21534.5,16.237025757098365
Argentina,1994,85.676,1.28017764168741,0.829841054106951,31.00532363071204,-1.141387309651961,961.0764840447227,29.612,0.0,8.591410135577007,564.3519601734588,201.84035652538205,11.74,279855716767.4492,183.6,13.572917118420662,304.196,280.72,292.688,435.664,711.616,90.4,41852.0,362.681010896398,270.590312871725,205.25565229602307,-0.7437209406681937,1551484.0,711008.0,50.40935728928,69996516.0,202.95495080475,67958268.0,197.045049195249,137954784.0,22.8,0.0,204.4,0.0,43.37227159584518,48.16,47.04,121345028.0,351.84,18.2,25661.3,16.0463617303609
Argentina,1995,83.896,1.30187033166633,0.833588351257994,31.395084204581053,-1.1692321063160733,1075.3187860166072,30.14,0.0,8.879118015377458,614.5450737593201,199.30548792107857,11.456,289071337638.0469,195.6,13.704601619143887,304.972,279.8,292.532,431.416,727.708,86.4,39856.0,398.323859714025,272.3052571799444,207.3845004455561,-0.729911676516295,1624500.0,750104.0,51.0779225999292,70902008.0,202.889557664644,68882428.0,197.11043088916,139784440.0,32.4,0.0,206.8,0.0,42.62918829018736,47.344,26.466258463352744,123239552.0,352.656,16.5,25751.6,15.855697703623434
Argentina,1996,61.347,0.986376721928841,0.8373356484090371,31.784844778450065,-0.303951457142829,1189.5610879884916,22.623,0.0,9.166825895177908,664.7381873451814,196.77061931677508,8.343,1914374959079.6,148.5,11.1959402561187,229.254,210.369,219.921,321.204,540.675,62.1,27366.0,360.7717602281323,274.0202014881643,209.51334859509006,0.334130644798278,1273218.0,590373.0,38.7943413393552,53838612.0,152.132191589099,52329474.0,147.8678084109,106168086.0,27.6,0.0,156.6,0.0,41.886104984529766,34.902,51.33,93816492.0,265.098,18.9,27671.7,15.665033676885969
Argentina,1997,59.955,0.923056258713174,0.8410829455600801,32.17460535231908,-1.2249216996443053,1303.803389960347,23.334,0.0,9.454533774978358,714.9313009310426,194.2357507124716,8.118,2069650807377.99,147.3,13.96797062059045,229.392,209.115,219.27,322.191,561.026999999999,59.4,24786.0,359.8171348939993,275.7351457963837,211.6421967446231,-0.7022931482125045,1326705.0,615135.0,39.2619964263399,54480312.0,152.111782757474,52967601.0,147.888217242525,107447913.0,25.5,0.0,158.399999999999,0.0,41.143021678872174,34.308,44.46,95160171.0,265.692,17.4,27972.6,15.474369650148446
Argentina,1998,59.214,0.924598138461969,0.8448302427111232,30.0,-0.61044479906559,1418.0456919322314,22.953,0.0,9.742241654778809,765.1244145169039,191.70088210816903,7.986,2149336065064.84,152.1,12.1196093559265,230.274,210.447,220.422,316.026,543.555,57.0,23424.0,358.86250955986657,277.45009010460353,213.77104489415706,-0.403948768973352,1380393.0,638292.0,39.7193635377042,55110180.0,152.098593568687,53589405.0,147.901406431312,108699585.0,28.2,0.0,159.899999999999,0.0,40.39993837321458,33.723,37.95,96480666.0,266.277,17.8,28090.3,15.283705623410981
Argentina,1999,59.022,0.956729916651834,0.8485775398621671,30.0,-1.2806112929725373,1532.2879939041159,22.845,0.0,10.029949534579146,815.3175281027798,189.16601350386554,7.92899999999999,2076571215923.25,149.399999999999,13.5650396347045,230.967,211.221,221.166,311.493,534.663,54.6,23556.0,357.9078842257336,279.16503441282293,215.8998930436901,-0.6746746199087106,1437246.0,663402.0,40.1795939620491,55741584.0,152.079057254501,54217509.0,147.920942745498,109959093.0,29.1,0.0,161.7,0.0,39.65685506755676,33.144,42.15,97810812.0,266.856,20.1,28069.1,15.093041596673515
