Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Birth rate, crude (per 1,000 people)",CO2 emissions (kg per PPP $ of GDP),Capital health expenditure (% of GDP),"Compulsory education, duration (years)",Control of Corruption: Estimate,"Current health expenditure per capita, PPP (current international $)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Domestic private health expenditure (% of current health expenditure),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Fertility rate, total (births per woman)","GDP, PPP (constant 2017 international $)",Gini index,"Government expenditure on education, total (% of GDP)","Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)",Number of neonatal deaths,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,"Population ages 80 and above, female","Population ages 80 and above, male",Population density (people per sq. km of land area),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Poverty gap at $6.85 a day (2017 PPP) (%),Pregnant women receiving prenatal care (%),Prevalence of overweight (% of adults),"Prevalence of overweight, weight for height (% of children under 5)",Prevalence of undernourishment (% of population),Rural population (% of total population),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Urban population (% of total population)
0.0,41.832,0.602579257824942,0.0,0.0,0.0,0.0,15.332,0.0,0.0,0.0,0.0,0.0,0.0,4.498,1933321756.997414,0.0,0.0,0.0,151.94,141.798,146.984,0.0,219.574,338.834,22.2,22.0,200.0,0.0,0.0,0.0,1622.0,800.0,287.854545454546,65668.0,103.6950480040424,60988.0,96.3049519959576,126656.0,0.0,0.0,67.4,0.0,0.0,129.148,0.0,0.0,44870.0,70.852
0.0,37.008,0.5788176481624,0.0,0.0,0.0,0.0,15.506,0.0,0.0,0.0,0.0,0.0,0.0,4.072,1975402024.680774,0.0,0.0,0.0,151.79,141.762,146.87,0.0,220.692,338.094,22.8,20.0,0.0,0.0,0.0,0.0,1658.0,858.0,289.245454545454,65832.0,103.4541282961938,61436.0,96.5458717038062,127268.0,0.0,0.0,68.8,0.0,0.0,129.07,0.0,0.0,45136.0,70.93
0.0,38.456,0.552112045431926,0.0,0.0,0.0,0.0,15.49,0.0,0.0,0.0,0.0,0.0,0.0,4.252,1998286567.067522,0.0,0.0,0.0,151.882,141.616,146.834,0.0,219.474,338.8,23.4,22.0,0.0,0.0,0.0,0.0,1688.0,914.0,293.904545454546,66974.0,103.5803213783078,62344.0,96.4196786216922,129318.0,0.0,0.0,69.8,0.0,0.0,129.83,0.0,0.0,45372.0,70.17
0.0,37.194,0.520486219461112,0.0,0.0,0.0,0.0,15.332,0.0,0.0,0.0,0.0,0.0,0.0,4.072,2103793674.05928,0.0,0.0,0.0,151.67,142.056,146.964,0.0,221.236,331.72,24.0,22.0,0.0,0.0,0.0,0.0,1720.0,966.0,299.245454545454,68424.0,103.934137375824,63244.0,96.065862624176,131668.0,0.0,0.0,71.0,0.0,0.0,130.582,0.0,0.0,45700.0,69.418
0.0,37.98,0.484594689877946,0.0,0.0,0.0,0.0,15.066,0.0,0.0,0.0,0.0,0.0,0.0,4.138,2244257815.73276,0.0,0.0,0.0,152.126,142.058,147.182,0.0,216.468,330.6,24.8,24.0,0.0,0.0,0.0,0.0,1752.0,1006.0,304.872727272728,69948.0,104.287929389313,64198.0,95.715052480916,134144.0,0.0,0.0,72.2,0.0,0.0,131.332,0.0,0.0,46058.0,68.668
0.0,39.694,0.518314766994222,0.0,0.0,0.0,0.0,14.832,0.0,0.0,0.0,0.0,0.0,0.0,4.318,2146417435.16972,0.0,0.0,0.0,152.444,141.942,147.272,0.0,213.35,330.368,25.2,26.0,200.0,0.0,0.0,0.0,1780.0,1038.0,310.9,71558.0,104.620018129185,65238.0,95.379981870815,136796.0,0.0,0.0,73.4,0.0,0.0,132.078,0.0,0.0,46458.0,67.922
0.0,62.469,0.7758749001020521,0.0,0.0,2.609691560268402,0.0,21.771,0.0,0.0,0.0,0.0,0.0,0.0,6.798,3432265065.1743298,0.0,0.0,0.0,229.626,213.141,221.48699999999997,0.0,310.524,493.197,38.400000000000006,42.0,0.0,0.0,0.0,2.1512306928634652,2718.0,1584.0,475.895454545454,109881.0,157.4271469096536,99513.0,142.5728530903464,209394.0,0.0,0.0,111.60000000000001,0.0,0.0,199.23,0.0,0.0,70335.0,100.77000000000001
0.0,60.354,0.7594821096140549,0.0,0.0,0.0,0.0,21.312,0.0,0.0,0.0,0.0,0.0,0.0,6.57,3620065171.60785,0.0,0.0,0.0,230.304,213.26100000000002,221.88,0.0,304.36199999999997,491.661,38.7,42.0,0.0,0.0,0.0,0.0,2760.0,1599.0,485.577272727273,112449.0,157.8940717234407,101205.0,142.1059282765593,213654.0,0.0,0.0,113.39999999999999,0.0,0.0,200.337,0.0,0.0,70977.0,99.66299999999998
0.0,55.422,0.76640949924627,0.0,33.0,2.650099217891694,0.0,20.88,0.0,0.0,0.0,0.0,0.0,0.0,6.051,3791334983.27544,0.0,0.0,0.0,230.892,213.17400000000004,222.123,0.0,299.697,492.495,38.7,39.0,0.0,0.0,0.0,2.185535967350007,2787.0,1596.0,494.809090909092,114879.0,158.2965882158409,102837.0,141.7034117841591,217716.0,0.0,246.0,114.89999999999999,0.0,0.0,201.435,0.0,0.0,71532.0,98.565
0.0,53.487,0.7626291596237971,0.0,33.0,0.0,0.0,20.201999999999998,0.0,0.0,0.0,0.0,0.0,0.0,5.868,3931903198.1583605,0.0,8.26190972328186,0.0,231.71099999999998,214.10399999999998,223.041,0.0,292.94100000000003,482.00700000000006,38.400000000000006,39.0,0.0,0.0,0.0,0.0,2793.0,1578.0,503.32500000000005,117117.0,158.6499776486367,104346.0,141.3500223513633,221463.0,0.0,0.0,116.69999999999999,0.0,0.0,202.53000000000003,0.0,0.0,71952.0,97.47
