País,Año,"Birth rate, crude (per 1,000 people)",CO2 emissions (kg per PPP $ of GDP),Capital health expenditure (% of GDP),"Compulsory education, duration (years)",Control of Corruption: Estimate,"Current health expenditure per capita, PPP (current international $)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Domestic private health expenditure (% of current health expenditure),"Fertility rate, total (births per woman)","GDP, PPP (constant 2017 international $)",Gini index,"Government expenditure on education, total (% of GDP)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)",Number of neonatal deaths,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,"Population ages 80 and above, female","Population ages 80 and above, male",Population density (people per sq. km of land area),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Poverty gap at $6.85 a day (2017 PPP) (%),Pregnant women receiving prenatal care (%),Prevalence of overweight (% of adults),"Prevalence of overweight, weight for height (% of children under 5)",Prevalence of undernourishment (% of population),Rural population (% of total population),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Urban population (% of total population),"Proportion of adults who are obese, 20 years old and over ,by sex",Gasto público social según la clasificación por funciones del gobierno,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex"
Argentina,1990,87.956,1.711437204032,0.0,0,0.0,0.0,30.972,0.0,0.0,0.0,0.0,12.136,1845532268783.71,0.0,4.2695198059082,299.852,274.208,287.136,462.868,791.784,101.6,43112,398.426798755242,0.0,0.0,0.0,1270320,573980,47.7038422327704,66296564,203.129054270041,64254060,196.870933474176,130550628,0.0,0.0,194.8,0.0,0.0,52.064,0.0,113558160,347.936,16.6,7055.659236,0.0
Argentina,1991,87.376,1.60148331136963,0.0,0,0.0,0.0,30.144,0.0,0.0,0.0,0.0,12.048,2014086771448.58,187.2,0.0,302.54,275.828,289.276,440.232,771.352,100.4,42544,0.0,0.0,0.0,0.0,1334164,606332,48.388035181186,67230376,203.07756084643,65192672,196.922427071081,132423052,18.0,0.0,197.2,0.0,0.0,50.688,21.76,115642404,349.312,14.9,18537.00203,0.0
Argentina,1992,86.732,1.47825088010281,0.0,0,0.0,0.0,30.38,0.0,0.0,0.0,0.0,11.948,2173950710697.96,182.0,0.0,302.876,276.38,289.72,440.84,766.876,97.6,42436,0.0,0.0,0.0,0.0,1404816,640140,49.0640664452312,68156308,203.037801901408,66116836,196.962210014601,134273140,20.0,0.0,199.6,0.0,0.0,49.832,25.44,117545392,350.168,17.4,21688.87885,0.0
Argentina,1993,86.28,1.36337890002907,0.0,0,0.0,0.0,30.524,0.0,0.0,0.0,0.0,11.864,2352366390565.15,179.6,0.0,303.76,276.64,290.26,436.036,766.732,94.0,42392,0.0,0.0,0.0,0.0,1477968,673904,49.7348841118284,69077968,203.007849005678,67030992,196.992150994321,136108960,22.0,380.0,202.0,0.0,0.0,48.992,40.4,119438336,351.008,15.7,21534.5,0.0
Argentina,1994,85.676,1.28017764168741,0.0,0,0.0,0.0,29.612,0.0,0.0,0.0,0.0,11.74,2489655214404.57,183.6,0.0,304.196,280.72,292.688,435.664,711.616,90.4,41852,0.0,0.0,0.0,0.0,1551484,711008,50.40935728928,69996516,202.95495080475,67958268,197.045049195249,137954784,22.8,0.0,204.4,44.4,0.0,48.16,47.04,121345028,351.84,18.2,25661.3,0.0
Argentina,1995,83.896,1.30187033166633,0.0,0,0.0,0.0,30.14,0.0,0.0,0.0,0.0,11.456,2418819304974.26,195.6,0.0,304.972,279.8,292.532,431.416,727.708,86.4,39856,398.323859714025,0.0,0.0,0.0,1624500,750104,51.0779225999292,70902008,202.889557664644,68882428,197.11043088916,139784440,32.4,0.0,206.8,0.0,0.0,47.344,75.2,123239552,352.656,16.5,25751.6,0.0
Argentina,1996,61.347,0.986376721928841,0.0,0,-0.303951457142829,0.0,22.623,0.0,0.0,0.0,0.0,8.343,1914374959079.6,148.5,11.1959402561187,229.254,210.369,219.921,321.204,540.675,62.1,27366,0.0,0.0,0.0,0.334130644798278,1273218,590373,38.7943413393552,53838612,152.132191589099,52329474,147.8678084109,106168086,27.6,0.0,156.6,40.5,0.0,34.902,51.33,93816492,265.098,18.9,27671.7,0.0
Argentina,1997,59.955,0.923056258713174,0.0,0,0.0,0.0,23.334,0.0,0.0,0.0,0.0,8.118,2069650807377.99,147.3,0.0,229.392,209.115,219.27,322.191,561.026999999999,59.4,24786,0.0,0.0,0.0,0.0,1326705,615135,39.2619964263399,54480312,152.111782757474,52967601,147.888217242525,107447913,25.5,0.0,158.399999999999,0.0,0.0,34.308,44.46,95160171,265.692,17.4,27972.6,0.0
Argentina,1998,59.214,0.924598138461969,0.0,30,-0.61044479906559,0.0,22.953,0.0,0.0,0.0,0.0,7.986,2149336065064.84,152.1,12.1196093559265,230.274,210.447,220.422,316.026,543.555,57.0,23424,0.0,0.0,0.0,-0.403948768973352,1380393,638292,39.7193635377042,55110180,152.098593568687,53589405,147.901406431312,108699585,28.2,0.0,159.899999999999,0.0,0.0,33.723,37.95,96480666,266.277,17.8,28090.3,0.0
Argentina,1999,59.022,0.956729916651834,0.0,30,0.0,0.0,22.845,0.0,0.0,0.0,0.0,7.92899999999999,2076571215923.25,149.399999999999,13.5650396347045,230.967,211.221,221.166,311.493,534.663,54.6,23556,0.0,0.0,0.0,0.0,1437246,663402,40.1795939620491,55741584,152.079057254501,54217509,147.920942745498,109959093,29.1,0.0,161.7,0.0,0.0,33.144,42.15,97810812,266.856,20.1,28069.1,0.0
